time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,190.087
2.2,197.694
2.3,199.834
2.4,200.653
2.5,201.41
2.6,201.67
2.7,201.005
2.8,201.252
2.9,202.143
3,202.573
3.1,202.7
3.2,202.764
3.3,202.855
3.4,201.722
3.5,202.786
3.6,202.995
3.7,202.268
3.8,202.188
3.9,203.132
4,202.967
4.1,203.168
4.2,203.16
4.3,203.222
4.4,203.251
4.5,203.081
4.6,202.672
4.7,203.292
4.8,202.922
4.9,203.244
5,203.26
5.1,203.359
5.2,203.374
5.3,203.214
5.4,203.398
5.5,203.409
5.6,203.291
5.7,203.25
5.8,203.392
5.9,203.44
6,203.449
6.1,203.412
6.2,203.432
6.3,203.219
6.4,203.44
6.5,203.456
6.6,203.159
6.7,203.493
6.8,203.428
6.9,203.498
7,203.341
7.1,203.353
7.2,203.24
7.3,203.452
7.4,203.519
7.5,203.513
7.6,203.474
7.7,203.289
7.8,203.527
7.9,203.541
8,203.545
8.1,202.945
8.2,203.499
8.3,203.55
8.4,203.391
8.5,203.544
8.6,203.473
8.7,203.558
8.8,203.425
8.9,203.499
9,203.572
9.1,203.562
9.2,203.558
9.3,203.573
9.4,203.574
9.5,203.519
9.6,203.586
9.7,203.551
9.8,203.583
9.9,203.586
10,203.577
10.1,203.438
10.2,203.591
10.3,203.593
10.4,203.51
10.5,203.587
10.6,203.588
10.7,203.537
10.8,203.585
10.9,203.527
11,203.607
11.1,203.556
11.2,203.537
11.3,203.599
11.4,203.604
11.5,203.611
11.6,203.61
11.7,203.499
11.8,203.614
11.9,202.987
