time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,230.434
2.2,236.909
2.3,279.538
2.4,280.02
2.5,264.967
2.6,274.623
2.7,262.9
2.8,276.433
2.9,274.787
3,272.588
3.1,278.286
3.2,254.917
3.3,257.011
3.4,263.944
3.5,243.477
3.6,242.123
3.7,243.849
3.8,241.616
3.9,245.221
4,250.027
4.1,253.707
4.2,253.805
4.3,256.024
4.4,256.641
4.5,258.587
4.6,253.313
4.7,251.037
4.8,252.051
4.9,247.654
5,250.03
5.1,249.949
5.2,249.512
5.3,248.771
5.4,246.438
5.5,249.446
5.6,251.993
5.7,244.221
5.8,245.497
5.9,245.096
6,245.269
6.1,245.585
6.2,246.518
6.3,244.693
6.4,245.537
6.5,243.155
6.6,243.214
6.7,244.45
6.8,245.643
6.9,246.488
7,249.194
7.1,250.293
7.2,251.135
7.3,248.364
7.4,245.993
7.5,247.1
7.6,247.414
7.7,248.361
7.8,246.83
7.9,248.771
8,249.201
8.1,249.26
8.2,249.817
8.3,251.004
8.4,252.744
8.5,250.006
8.6,251.529
8.7,250.336
8.8,250.029
8.9,250.363
9,251.046
9.1,250.804
9.2,250.337
9.3,251.764
9.4,252.606
9.5,252.728
9.6,252.987
9.7,252.784
9.8,253.458
9.9,254.142
10,255.323
10.1,251.381
10.2,252.844
10.3,253.796
10.4,253.633
10.5,253.705
10.6,254.527
10.7,253.639
10.8,253.037
10.9,253.754
11,254.475
11.1,252.547
11.2,252.23
11.3,252.798
11.4,252.461
11.5,251.714
11.6,252.091
11.7,252.387
11.8,252.778
11.9,251.65
