time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,145.218
2.2,217.95
2.3,231.261
2.4,201.75
2.5,219.349
2.6,229.556
2.7,232.854
2.8,247.926
2.9,234.583
3,234.065
3.1,236.536
3.2,239.437
3.3,224.051
3.4,224.923
3.5,213.561
3.6,214.853
3.7,212.111
3.8,211.493
3.9,216.502
4,214.527
4.1,207.626
4.2,209.861
4.3,213.418
4.4,214.46
4.5,215.912
4.6,210.83
4.7,211.666
4.8,210.269
4.9,200.931
5,201.772
5.1,199.299
5.2,202.097
5.3,200.105
5.4,202.511
5.5,204.867
5.6,206.56
5.7,209.547
5.8,207.421
5.9,205.748
6,205.395
6.1,202.495
6.2,204.109
6.3,200.744
6.4,202.281
6.5,200.53
6.6,199.094
6.7,199.49
6.8,200.453
6.9,200.573
7,201.498
7.1,198.628
7.2,198.757
7.3,198.248
7.4,198.691
7.5,198.735
7.6,198.886
7.7,201.305
7.8,200.647
7.9,200.911
8,199.666
8.1,200.03
8.2,200.137
8.3,197.77
8.4,199.787
8.5,199.509
8.6,200.472
8.7,201.878
8.8,200.547
8.9,199.612
9,199.195
9.1,197.864
9.2,198.084
9.3,198.058
9.4,197.635
9.5,199.38
9.6,200.084
9.7,199.514
9.8,197.571
9.9,198.545
10,197.055
10.1,196.152
10.2,195.914
10.3,196.367
10.4,196.088
10.5,195.898
10.6,196.158
10.7,195.19
10.8,195.744
10.9,195.704
11,195.295
11.1,196.182
11.2,197.141
11.3,197.123
11.4,196.813
11.5,196.687
11.6,196.092
11.7,196.515
11.8,196.404
11.9,196.955
