time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,117.173
2.2,174.476
2.3,199.358
2.4,213.651
2.5,223.795
2.6,202.785
2.7,212.28
2.8,227.005
2.9,219.272
3,207.731
3.1,203.451
3.2,197.71
3.3,196.484
3.4,206.699
3.5,210.84
3.6,210.391
3.7,207.118
3.8,208.946
3.9,182.231
4,186.307
4.1,189.563
4.2,188.418
4.3,189.354
4.4,187.783
4.5,186.432
4.6,188.605
4.7,180.054
4.8,181.36
4.9,180.5
5,184.468
5.1,183.046
5.2,178.657
5.3,180.539
5.4,173.991
5.5,171.84
5.6,171.513
5.7,171.638
5.8,169.661
5.9,167.793
6,165.654
6.1,163.566
6.2,161.427
6.3,163.594
6.4,164.695
6.5,163.164
6.6,162.12
6.7,161.618
6.8,162.162
6.9,160.694
7,160.659
7.1,157.452
7.2,156.407
7.3,157.514
7.4,156.772
7.5,156.722
7.6,154.992
7.7,155.677
7.8,155.144
7.9,154.174
8,154.143
8.1,152.454
8.2,150.794
8.3,151.187
8.4,148.941
8.5,149.495
8.6,150.028
8.7,150.244
8.8,150.804
8.9,150.831
9,151.562
9.1,150.919
9.2,149.73
9.3,149.683
9.4,148.741
9.5,148.055
9.6,147.915
9.7,147.632
9.8,146.439
9.9,146.974
10,147.258
10.1,144.509
10.2,143.039
10.3,143.072
10.4,142.914
10.5,143.397
10.6,143.97
10.7,144.74
10.8,144.683
10.9,143.096
11,143.314
11.1,142.899
11.2,143.354
11.3,143.546
11.4,143.6
11.5,143.044
11.6,143.186
11.7,143.407
11.8,142.577
11.9,141.444
