time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,170.086
2.2,223.079
2.3,240.969
2.4,246.79
2.5,276.349
2.6,249.134
2.7,269.781
2.8,245.686
2.9,250.848
3,249.409
3.1,257.837
3.2,265.791
3.3,261.678
3.4,260.168
3.5,234.683
3.6,234.597
3.7,239.855
3.8,240.906
3.9,229.459
4,218.055
4.1,218.303
4.2,221.466
4.3,224.6
4.4,227.029
4.5,227.051
4.6,225.516
4.7,219.566
4.8,220.236
4.9,219.707
5,220.487
5.1,221.118
5.2,218.347
5.3,215.129
5.4,214.769
5.5,212.606
5.6,214.07
5.7,216.663
5.8,217.661
5.9,213.962
6,214.105
6.1,214.704
6.2,216.468
6.3,219.149
6.4,217.121
6.5,214.232
6.6,215.467
6.7,216.533
6.8,216.152
6.9,214.41
7,215.602
7.1,214.512
7.2,215.484
7.3,215.958
7.4,215.996
7.5,211.217
7.6,208.12
7.7,209.593
7.8,210.216
7.9,210.445
8,210.042
8.1,209.769
8.2,210.35
8.3,212.147
8.4,212.085
8.5,209.38
8.6,209.759
8.7,208.385
8.8,208.653
8.9,208.646
9,208.29
9.1,208.2
9.2,209.623
9.3,206.394
9.4,205.917
9.5,205.477
9.6,206.196
9.7,206.596
9.8,207.664
9.9,206.064
10,207.504
10.1,205.582
10.2,205.086
10.3,205.452
10.4,206.804
10.5,206.538
10.6,207.307
10.7,206.559
10.8,205.731
10.9,205.417
11,205.68
11.1,205.532
11.2,205.621
11.3,205.572
11.4,206.26
11.5,207.084
11.6,206.431
11.7,207.303
11.8,206.745
11.9,205.674
