time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,48.6612
2.2,49.8132
2.3,50.1721
2.4,50.3491
2.5,50.4852
2.6,50.547
2.7,50.6051
2.8,50.6532
2.9,50.6816
3,50.7031
3.1,50.7242
3.2,50.745
3.3,50.76
3.4,50.7733
3.5,50.7763
3.6,50.7923
3.7,50.7986
3.8,50.808
3.9,50.8118
4,50.82
4.1,50.8267
4.2,50.8314
4.3,50.8359
4.4,50.84
4.5,50.8424
4.6,50.8451
4.7,50.8498
4.8,50.8532
4.9,50.856
5,50.8561
5.1,50.8604
5.2,50.8618
5.3,50.8644
5.4,50.8664
5.5,50.8693
5.6,50.8711
5.7,50.8727
5.8,50.874
5.9,50.8729
6,50.8773
6.1,50.8781
6.2,50.8799
6.3,50.881
6.4,50.8815
6.5,50.8829
6.6,50.8834
6.7,50.8846
6.8,50.8862
6.9,50.887
7,50.8882
7.1,50.8887
7.2,50.8902
7.3,50.8903
7.4,50.8907
7.5,50.8921
7.6,50.893
7.7,50.894
7.8,50.8947
7.9,50.8952
8,50.8948
8.1,50.8962
8.2,50.8972
8.3,50.8971
8.4,50.8982
8.5,50.8985
8.6,50.899
8.7,50.8996
8.8,50.9004
8.9,50.9004
9,50.9013
9.1,50.9018
9.2,50.9022
9.3,50.9024
9.4,50.9025
9.5,50.9033
9.6,50.9036
9.7,50.9035
9.8,50.9045
9.9,50.905
10,50.9053
10.1,50.9049
10.2,50.906
10.3,50.9063
10.4,50.9063
10.5,50.907
10.6,50.9072
10.7,50.9076
10.8,50.9079
10.9,50.9077
11,50.9081
11.1,50.9087
11.2,50.9087
11.3,50.9091
11.4,50.9086
11.5,50.9098
11.6,50.91
11.7,50.91
11.8,50.9099
11.9,50.9106
