time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,197.506
2.2,215.198
2.3,238.112
2.4,212.785
2.5,211.645
2.6,179.132
2.7,183.937
2.8,180.538
2.9,174.598
3,180.414
3.1,166.923
3.2,170.828
3.3,169.55
3.4,168.596
3.5,169.713
3.6,155.726
3.7,158.724
3.8,158.176
3.9,159.567
4,163.046
4.1,164.805
4.2,164.652
4.3,166.654
4.4,170.387
4.5,170.085
4.6,160.604
4.7,159.812
4.8,162.651
4.9,162.103
5,162.351
5.1,166.052
5.2,163.531
5.3,161.92
5.4,161.769
5.5,158.51
5.6,158.855
5.7,159.73
5.8,162.341
5.9,164.002
6,161.597
6.1,157.938
6.2,158.505
6.3,158.295
6.4,157.702
6.5,156.994
6.6,157.616
6.7,158.211
6.8,159.497
6.9,160.237
7,158.738
7.1,158.457
7.2,158.966
7.3,158.972
7.4,159.475
7.5,160.173
7.6,161.452
7.7,160.046
7.8,160.4
7.9,160.579
8,160.42
8.1,161.829
8.2,158.858
8.3,158.944
8.4,157.886
8.5,158.199
8.6,154.8
8.7,155.91
8.8,156.013
8.9,156.061
9,157.479
9.1,156.486
9.2,156.947
9.3,156.817
9.4,158.132
9.5,156.952
9.6,157.905
9.7,158.378
9.8,156.028
9.9,155.593
10,155.794
10.1,156.849
10.2,156.997
10.3,157.583
10.4,158.469
10.5,157.065
10.6,157.032
10.7,157.308
10.8,158.257
10.9,157.525
11,157.573
11.1,157.964
11.2,157.837
11.3,158.989
11.4,158.415
11.5,159.14
11.6,159.329
11.7,157.867
11.8,157.962
11.9,155.834
