time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,235.316
2.2,242.444
2.3,276.626
2.4,282.016
2.5,285.873
2.6,289.862
2.7,292.4
2.8,299.766
2.9,288.055
3,267.595
3.1,259.232
3.2,260.61
3.3,264.72
3.4,271.014
3.5,277.631
3.6,275.03
3.7,267.802
3.8,271.58
3.9,276.803
4,273.99
4.1,275.911
4.2,277.768
4.3,269.542
4.4,268.654
4.5,272.544
4.6,273.192
4.7,270.894
4.8,268.135
4.9,271.389
5,273.268
5.1,268.811
5.2,268.439
5.3,267.125
5.4,267.7
5.5,267.081
5.6,269.635
5.7,267.269
5.8,268.758
5.9,268.527
6,269.09
6.1,270.306
6.2,274.971
6.3,276.498
6.4,272.988
6.5,273.468
6.6,274.53
6.7,276.352
6.8,269.905
6.9,270.747
7,272.271
7.1,271.57
7.2,268.313
7.3,270.12
7.4,271.991
7.5,269.973
7.6,269.426
7.7,268.986
7.8,269.371
7.9,267.633
8,267.903
8.1,269.09
8.2,268.955
8.3,268.31
8.4,269.525
8.5,269.695
8.6,269.689
8.7,269.008
8.8,268.499
8.9,270.075
9,269.991
9.1,267.334
9.2,267.582
9.3,267.326
9.4,267.673
9.5,267.61
9.6,267.323
9.7,268.056
9.8,268.562
9.9,270.443
10,271.179
10.1,270.412
10.2,270.106
10.3,267.896
10.4,267.495
10.5,268.214
10.6,269.07
10.7,268.967
10.8,270.199
10.9,269.657
11,270.477
11.1,269.678
11.2,269.695
11.3,268.024
11.4,269.277
11.5,268.493
11.6,269.746
11.7,269.516
11.8,268.786
11.9,269.072
