time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,155.06
2.2,179.342
2.3,182.563
2.4,186.424
2.5,211.801
2.6,237.925
2.7,242.15
2.8,238.777
2.9,187.97
3,193.848
3.1,195.298
3.2,193.746
3.3,173.103
3.4,174.657
3.5,175.08
3.6,179.985
3.7,180.289
3.8,180.662
3.9,180.135
4,184.105
4.1,185.155
4.2,187.287
4.3,185.042
4.4,181.73
4.5,183.069
4.6,184.954
4.7,185.73
4.8,172.094
4.9,172.093
5,173.447
5.1,174.15
5.2,173.443
5.3,172.534
5.4,170.982
5.5,169.948
5.6,169.333
5.7,171.904
5.8,172.904
5.9,170.324
6,169.841
6.1,168.674
6.2,167.598
6.3,169.794
6.4,170.047
6.5,169.235
6.6,167.614
6.7,168.42
6.8,169.041
6.9,170.782
7,170.34
7.1,170.906
7.2,168.365
7.3,166.043
7.4,166.169
7.5,164.338
7.6,164.461
7.7,164.787
7.8,164.912
7.9,163.548
8,163.393
8.1,163.718
8.2,164.237
8.3,164.583
8.4,165.624
8.5,165.279
8.6,164.672
8.7,165.075
8.8,165.655
8.9,167.416
9,165.367
9.1,165.269
9.2,165.879
9.3,166.365
9.4,165.894
9.5,166.23
9.6,165.237
9.7,164.638
9.8,164.182
9.9,165.081
10,165.705
10.1,165.864
10.2,166.006
10.3,165.233
10.4,164.88
10.5,164.741
10.6,165.794
10.7,165.284
10.8,165.676
10.9,165.062
11,165.591
11.1,164.994
11.2,162.639
11.3,162.01
11.4,162.166
11.5,162.194
11.6,162.756
11.7,161.945
11.8,161.576
11.9,162.046
