time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,90.7895
2.2,176.465
2.3,199.903
2.4,217.048
2.5,230.95
2.6,254.285
2.7,276.108
2.8,278.938
2.9,261.046
3,253.141
3.1,232.403
3.2,232.539
3.3,238.433
3.4,228.653
3.5,228.523
3.6,206.785
3.7,209.227
3.8,209.043
3.9,207.601
4,207.799
4.1,205.078
4.2,206.44
4.3,210.616
4.4,163.819
4.5,167.417
4.6,166.57
4.7,167.184
4.8,162.104
4.9,162.011
5,165.108
5.1,166.536
5.2,168.746
5.3,166.881
5.4,163.366
5.5,162.758
5.6,160.063
5.7,157.696
5.8,158.86
5.9,157.12
6,156.725
6.1,155.751
6.2,156.512
6.3,156.151
6.4,157.844
6.5,157.994
6.6,154.691
6.7,155.549
6.8,157.195
6.9,156.638
7,156.576
7.1,157.499
7.2,157.133
7.3,156.583
7.4,156.687
7.5,158.217
7.6,158.079
7.7,159.271
7.8,160.349
7.9,158.957
8,157.216
8.1,155.891
8.2,156.439
8.3,157.619
8.4,156.718
8.5,156.622
8.6,157.047
8.7,152.102
8.8,151.903
8.9,152.295
9,151.235
9.1,149.343
9.2,150.354
9.3,150.732
9.4,150.22
9.5,149.406
9.6,149.608
9.7,148.033
9.8,148.619
9.9,148.161
10,147.192
10.1,146.672
10.2,146.761
10.3,145.926
10.4,145.753
10.5,145.271
10.6,145.466
10.7,145.501
10.8,142.654
10.9,142.624
11,141.812
11.1,142.339
11.2,142.401
11.3,142.95
11.4,143.206
11.5,144.061
11.6,144.032
11.7,144.047
11.8,143.228
11.9,143.158
