time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,48.6831
2.2,49.8136
2.3,50.181
2.4,50.3737
2.5,50.4743
2.6,50.5571
2.7,50.6129
2.8,50.6519
2.9,50.6839
3,50.7093
3.1,50.7299
3.2,50.7421
3.3,50.7612
3.4,50.7692
3.5,50.784
3.6,50.7882
3.7,50.8015
3.8,50.8089
3.9,50.8156
4,50.8156
4.1,50.826
4.2,50.8316
4.3,50.8338
4.4,50.8389
4.5,50.8437
4.6,50.8458
4.7,50.8482
4.8,50.8529
4.9,50.8561
5,50.8579
5.1,50.86
5.2,50.8618
5.3,50.8629
5.4,50.8675
5.5,50.8676
5.6,50.8711
5.7,50.8724
5.8,50.8744
5.9,50.8744
6,50.8772
6.1,50.8787
6.2,50.8794
6.3,50.8803
6.4,50.8824
6.5,50.8836
6.6,50.8847
6.7,50.8857
6.8,50.8866
6.9,50.8876
7,50.8881
7.1,50.8894
7.2,50.8903
7.3,50.891
7.4,50.8918
7.5,50.8918
7.6,50.8934
7.7,50.8941
7.8,50.8946
7.9,50.8945
8,50.8951
8.1,50.8964
8.2,50.8972
8.3,50.8973
8.4,50.8984
8.5,50.8984
8.6,50.8994
8.7,50.8996
8.8,50.9004
8.9,50.9009
9,50.9011
9.1,50.9018
9.2,50.9017
9.3,50.9025
9.4,50.9025
9.5,50.9034
9.6,50.9036
9.7,50.9033
9.8,50.9046
9.9,50.905
10,50.9049
10.1,50.9054
10.2,50.906
10.3,50.9063
10.4,50.906
10.5,50.9062
10.6,50.9073
10.7,50.9076
10.8,50.9079
10.9,50.9082
11,50.9085
11.1,50.9085
11.2,50.909
11.3,50.909
11.4,50.9094
11.5,50.9098
11.6,50.9096
11.7,50.9096
11.8,50.9104
11.9,50.9107
