time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,208.692
2.2,269.661
2.3,285.225
2.4,295.471
2.5,309.774
2.6,320.562
2.7,273.196
2.8,258.174
2.9,264.079
3,250.896
3.1,251.551
3.2,258.98
3.3,247.843
3.4,252.678
3.5,248.515
3.6,246.428
3.7,242.296
3.8,236.867
3.9,235.704
4,239.059
4.1,241.807
4.2,236.087
4.3,237.649
4.4,236.319
4.5,237.928
4.6,232.911
4.7,236.877
4.8,239.38
4.9,242.635
5,241.756
5.1,238.243
5.2,238.223
5.3,238.911
5.4,240.834
5.5,244.865
5.6,244.907
5.7,245.932
5.8,245.999
5.9,238.837
6,241.265
6.1,243.109
6.2,239.987
6.3,241.097
6.4,235.243
6.5,232.285
6.6,233.259
6.7,234.459
6.8,235.206
6.9,235.662
7,236.286
7.1,235.036
7.2,236.828
7.3,237.668
7.4,234.556
7.5,235.29
7.6,236.928
7.7,233.107
7.8,234.765
7.9,234.669
8,233.643
8.1,233.902
8.2,233.914
8.3,233.997
8.4,234.49
8.5,232.906
8.6,233.774
8.7,231.593
8.8,231.488
8.9,232.317
9,231.677
9.1,232.498
9.2,232.827
9.3,234.124
9.4,233.117
9.5,230.669
9.6,231.558
9.7,232.393
9.8,233.03
9.9,234.228
10,233.173
10.1,233.383
10.2,233.269
10.3,233.981
10.4,231.192
10.5,232.11
10.6,231.735
10.7,231.56
10.8,232.035
10.9,233.055
11,233.909
11.1,234.538
11.2,235.27
11.3,235.318
11.4,234.95
11.5,231.623
11.6,231.212
11.7,231.239
11.8,231.581
11.9,231.773
