time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,98.8151
2.2,100.379
2.3,100.819
2.4,101.105
2.5,101.236
2.6,101.359
2.7,101.42
2.8,101.483
2.9,101.539
3,101.559
3.1,101.58
3.2,101.598
3.3,101.628
3.4,101.646
3.5,101.628
3.6,101.679
3.7,101.691
3.8,101.697
3.9,101.703
4,101.703
4.1,101.723
4.2,101.732
4.3,101.731
4.4,101.743
4.5,101.735
4.6,101.751
4.7,101.753
4.8,101.756
4.9,101.76
5,101.767
5.1,101.767
5.2,101.774
5.3,101.776
5.4,101.779
5.5,101.779
5.6,101.782
5.7,101.786
5.8,101.787
5.9,101.785
6,101.791
6.1,101.794
6.2,101.792
6.3,101.795
6.4,101.797
6.5,101.797
6.6,101.8
6.7,101.803
6.8,101.803
6.9,101.807
7,101.806
7.1,101.807
7.2,101.807
7.3,101.81
7.4,101.811
7.5,101.812
7.6,101.812
7.7,101.814
7.8,101.813
7.9,101.815
8,101.812
8.1,101.816
8.2,101.818
8.3,101.818
8.4,101.818
8.5,101.82
8.6,101.822
8.7,101.822
8.8,101.82
8.9,101.824
9,101.822
9.1,101.819
9.2,101.821
9.3,101.826
9.4,101.825
9.5,101.826
9.6,101.827
9.7,101.828
9.8,101.828
9.9,101.828
10,101.829
10.1,101.83
10.2,101.827
10.3,101.83
10.4,101.826
10.5,101.831
10.6,101.831
10.7,101.832
10.8,101.832
10.9,101.832
11,101.833
11.1,101.834
11.2,101.832
11.3,101.834
11.4,101.834
11.5,101.833
11.6,101.835
11.7,101.835
11.8,101.834
11.9,101.836
