time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,244.5
2.2,233.407
2.3,267.434
2.4,257.571
2.5,280.099
2.6,291.183
2.7,291.438
2.8,273.448
2.9,269.992
3,264.547
3.1,255.943
3.2,255.544
3.3,264.215
3.4,257.286
3.5,260.743
3.6,265.616
3.7,273.478
3.8,265.609
3.9,257.792
4,258.912
4.1,259.682
4.2,265.286
4.3,259.796
4.4,258.851
4.5,259.682
4.6,259.686
4.7,256.124
4.8,257.211
4.9,256.782
5,258.32
5.1,256.843
5.2,255.85
5.3,254.353
5.4,258.47
5.5,261.721
5.6,258.287
5.7,256.208
5.8,259.878
5.9,257.953
6,259.942
6.1,259.387
6.2,261.486
6.3,262.371
6.4,260.941
6.5,260.624
6.6,259.278
6.7,258.91
6.8,257.536
6.9,258.512
7,260.983
7.1,263.681
7.2,258.207
7.3,258.737
7.4,260.042
7.5,261.227
7.6,261.368
7.7,263.678
7.8,262.68
7.9,259.085
8,259.634
8.1,260.687
8.2,261.171
8.3,261.873
8.4,261.328
8.5,259.386
8.6,260.34
8.7,261.888
8.8,261.959
8.9,261.873
9,260.45
9.1,261.589
9.2,262.216
9.3,261.079
9.4,259.562
9.5,260.149
9.6,259.852
9.7,260.672
9.8,259.612
9.9,259.45
10,259.326
10.1,258.864
10.2,259.379
10.3,259.458
10.4,260.452
10.5,259.11
10.6,259.022
10.7,259.716
10.8,259.272
10.9,260.428
11,262.215
11.1,260.501
11.2,261.208
11.3,262.509
11.4,263.864
11.5,263.428
11.6,263.956
11.7,261.505
11.8,261.823
11.9,259.071
