time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,357.966
2.2,370.876
2.3,374.993
2.4,376.875
2.5,378.038
2.6,378.609
2.7,378.962
2.8,379.448
2.9,379.718
3,379.927
3.1,380.002
3.2,380.33
3.3,380.569
3.4,380.672
3.5,380.881
3.6,380.953
3.7,381.017
3.8,380.956
3.9,381.02
4,381.204
4.1,381.263
4.2,381.292
4.3,381.34
4.4,381.404
4.5,381.428
4.6,381.476
4.7,381.403
4.8,381.418
4.9,381.464
5,381.503
5.1,381.462
5.2,381.455
5.3,381.487
5.4,381.51
5.5,381.522
5.6,381.528
5.7,381.564
5.8,381.551
5.9,381.555
6,381.526
6.1,381.534
6.2,381.555
6.3,381.585
6.4,381.609
6.5,381.638
6.6,381.657
6.7,381.679
6.8,381.654
6.9,381.682
7,381.631
7.1,381.631
7.2,381.627
7.3,381.668
7.4,381.704
7.5,381.716
7.6,381.712
7.7,381.714
7.8,381.698
7.9,381.679
8,381.68
8.1,381.708
8.2,381.708
8.3,381.747
8.4,381.769
8.5,381.769
8.6,381.764
8.7,381.781
8.8,381.769
8.9,381.79
9,381.793
9.1,381.794
9.2,381.789
9.3,381.763
9.4,381.775
9.5,381.78
9.6,381.782
9.7,381.798
9.8,381.798
9.9,381.824
10,381.816
10.1,381.801
10.2,381.815
10.3,381.835
10.4,381.828
10.5,381.827
10.6,381.788
10.7,381.796
10.8,381.777
10.9,381.779
11,381.769
11.1,381.777
11.2,381.778
11.3,381.803
11.4,381.799
11.5,381.806
11.6,381.809
11.7,381.805
11.8,381.791
11.9,381.777
