time_s,totalThroughputMbps
0,0
0.5,0
1,0
1.5,0
2,0
2.5,58.6081
3,58.6819
3.5,58.7049
4,58.7162
4.5,58.7226
5,58.7279
5.5,58.7307
6,58.7332
6.5,58.7348
7,58.7366
7.5,58.7362
8,58.7389
8.5,58.7396
9,58.7403
9.5,58.7412
10,58.7415
10.5,58.742
11,58.7424
11.5,58.743
12,58.7431
12.5,58.7435
13,58.7438
13.5,58.7441
14,58.7444
14.5,58.7439
15,58.7448
15.5,58.745
16,58.7452
16.5,58.7453
17,58.7456
17.5,58.7457
18,58.7455
18.5,58.7458
19,58.746
19.5,58.7461
20,58.7463
20.5,58.7463
21,58.7465
21.5,58.7464
22,58.7466
22.5,58.7467
23,58.7468
23.5,58.7466
24,58.747
24.5,58.747
25,58.7471
25.5,58.7472
26,58.7472
26.5,58.7473
27,58.7473
27.5,58.7469
28,58.7474
28.5,58.7474
29,58.7475
29.5,58.7476
30,58.7476
30.5,58.7476
31,58.7477
31.5,58.7477
32,58.7478
32.5,58.7478
33,58.7478
33.5,58.7479
34,58.7479
34.5,58.7479
35,58.748
35.5,58.748
36,58.748
36.5,58.7481
37,58.7481
37.5,58.7481
38,58.7481
38.5,58.7482
39,58.748
39.5,58.7482
40,58.7482
40.5,58.7483
41,58.7483
41.5,58.7483
42,58.7482
42.5,58.7483
43,58.7484
43.5,58.7484
44,58.7484
44.5,58.7484
45,58.7484
45.5,58.7483
46,58.7485
46.5,58.7485
47,58.7485
47.5,58.7484
48,58.7485
48.5,58.7485
49,58.7485
49.5,58.7486
50,58.7486
50.5,58.7486
51,58.7486
51.5,58.7486
52,58.7486
52.5,58.7487
53,58.7487
53.5,58.7487
54,58.7487
54.5,58.7487
55,58.7488
55.5,58.7488
56,58.7487
56.5,58.7488
57,58.7488
57.5,58.7488
58,58.7488
58.5,58.7487
59,58.7488
59.5,58.7488
60,58.7488
60.5,58.7489
61,58.7489
61.5,58.7488
