time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,210.851
2.2,237.859
2.3,304.038
2.4,320.461
2.5,300.749
2.6,309.145
2.7,310.156
2.8,266.719
2.9,275.605
3,272.68
3.1,278.995
3.2,262.214
3.3,261.294
3.4,259.03
3.5,263.41
3.6,253.68
3.7,249.2
3.8,251.037
3.9,249.553
4,256.156
4.1,260.487
4.2,256.792
4.3,258.797
4.4,246.277
4.5,242.174
4.6,243.228
4.7,245.234
4.8,245.042
4.9,243.182
5,242.844
5.1,244.485
5.2,244.324
5.3,243.595
5.4,244.38
5.5,240.662
5.6,244.42
5.7,247.277
5.8,247.016
5.9,245.733
6,243.89
6.1,244.229
6.2,246.333
6.3,245.592
6.4,247.498
6.5,244.719
6.6,241.574
6.7,240.463
6.8,240.647
6.9,242.817
7,244.552
7.1,245.604
7.2,245.841
7.3,246.061
7.4,245.57
7.5,242.984
7.6,244.112
7.7,244.405
7.8,243.468
7.9,243.611
8,245.545
8.1,243.967
8.2,242.482
8.3,240.304
8.4,240.693
8.5,238.789
8.6,239.632
8.7,241.221
8.8,243.332
8.9,243.721
9,242.348
9.1,242.272
9.2,242.146
9.3,243.096
9.4,242.562
9.5,242.796
9.6,244.661
9.7,244.81
9.8,243.866
9.9,244.053
10,243.136
10.1,243.708
10.2,245.153
10.3,246.759
10.4,247.616
10.5,246.645
10.6,240.948
10.7,241.158
10.8,241.711
10.9,239.012
11,238.368
11.1,238.822
11.2,239.367
11.3,239.481
11.4,240.296
11.5,240.119
11.6,240.684
11.7,240.606
11.8,240.526
11.9,239.582
