time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,100.613
2.2,167.016
2.3,181.303
2.4,203.861
2.5,222.073
2.6,227.571
2.7,236.023
2.8,235.088
2.9,235.606
3,244.244
3.1,234.674
3.2,216.452
3.3,211.307
3.4,217.152
3.5,217.647
3.6,211.979
3.7,205.744
3.8,210.522
3.9,206.716
4,210.484
4.1,210.341
4.2,210.071
4.3,202.316
4.4,197.224
4.5,201.606
4.6,200.608
4.7,198.543
4.8,200.613
4.9,203.763
5,203.272
5.1,201.239
5.2,199.369
5.3,189.458
5.4,186.003
5.5,185.693
5.6,181.97
5.7,181.561
5.8,180.726
5.9,179.311
6,178.323
6.1,177.623
6.2,174.447
6.3,173.954
6.4,173.946
6.5,174.28
6.6,175.691
6.7,175.876
6.8,175.38
6.9,173.005
7,172.168
7.1,173.198
7.2,171.656
7.3,172.738
7.4,172.26
7.5,172.267
7.6,172.909
7.7,171.705
7.8,169.524
7.9,170.565
8,171.329
8.1,171.946
8.2,170.559
8.3,171.783
8.4,173.066
8.5,173.582
8.6,172.199
8.7,172.863
8.8,171.996
8.9,172.826
9,173.201
9.1,171.746
9.2,171.306
9.3,171.046
9.4,172.292
9.5,172.31
9.6,169.262
9.7,169.757
9.8,170.724
9.9,170.411
10,171.233
10.1,171.408
10.2,171.855
10.3,171.646
10.4,168.832
10.5,168.468
10.6,168.895
10.7,166.528
10.8,166.949
10.9,165.65
11,166.393
11.1,165.768
11.2,166.295
11.3,166.185
11.4,166.108
11.5,166.119
11.6,166.946
11.7,168.047
11.8,167.411
11.9,167.774
