time_s,totalThroughputMbps
0,0
0.5,0
1,0
1.5,0
2,0
2.5,117.384
3,147.801
3.5,136.517
4,124.789
4.5,124.159
5,126.805
5.5,127.049
6,123.125
6.5,121.381
7,120.814
7.5,117.377
8,117.236
8.5,116.043
9,114.716
