time_s,totalThroughputMbps
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,191.15
2.2,197.729
2.3,199.772
2.4,199.526
2.5,201.46
2.6,201.773
2.7,201.925
2.8,202.254
2.9,198.583
3,201.19
3.1,202.643
3.2,202.765
3.3,202.778
3.4,202.904
3.5,202.948
3.6,202.916
3.7,202.893
3.8,203.114
3.9,203.122
4,203.152
4.1,202.925
4.2,203.221
4.3,203.241
4.4,203.251
4.5,203.251
4.6,203.313
4.7,203.301
4.8,203.314
4.9,203.332
5,203.343
5.1,203.251
5.2,203.124
5.3,203.388
5.4,203.393
5.5,203.352
5.6,203.404
5.7,203.378
5.8,202.956
5.9,203.432
6,203.365
6.1,203.46
6.2,203.031
6.3,203.398
6.4,202.908
6.5,203.324
6.6,203.482
6.7,203.491
6.8,203.449
6.9,203.496
7,203.498
7.1,203.402
7.2,203.362
7.3,203.34
7.4,203.522
7.5,203.507
7.6,203.466
7.7,203.495
7.8,203.473
7.9,203.542
8,202.981
8.1,203.49
8.2,203.259
8.3,203.543
8.4,203.538
8.5,203.331
8.6,203.565
8.7,203.244
8.8,203.459
8.9,203.57
9,203.544
9.1,203.574
9.2,203.306
9.3,203.534
9.4,203.578
9.5,203.549
9.6,203.325
9.7,203.414
9.8,203.528
9.9,203.555
10,203.576
10.1,203.463
10.2,203.588
10.3,203.597
10.4,203.586
10.5,203.593
10.6,203.489
10.7,203.601
10.8,203.605
10.9,203.604
11,203.584
11.1,203.609
11.2,203.594
11.3,203.606
11.4,203.609
11.5,203.611
11.6,203.214
11.7,203.616
11.8,203.5
11.9,203.466
