time_s,totalThroughputMbps
0,0
0.5,0
1,0
1.5,0
2,0
2.5,272.998
3,294.62
3.5,293.722
4,305.17
4.5,297.486
5,297.792
5.5,302.599
6,302.942
6.5,301.951
7,302.334
7.5,301.811
8,302.278
8.5,303.909
9,303.228
9.5,304.541
10,305.56
10.5,305.537
11,304.051
11.5,303.255
12,304.023
12.5,302.866
13,302.871
13.5,304.673
14,304.629
14.5,302.72
15,303.79
15.5,303.672
16,303.867
16.5,304.327
17,303.322
17.5,304.07
18,303.742
18.5,304.576
19,303.686
19.5,305.024
20,305.11
20.5,304.604
21,304.305
21.5,304.076
22,304.993
22.5,304.836
23,304.365
23.5,304.921
24,304.113
24.5,305.493
25,304.751
25.5,304.581
26,304.445
26.5,304.61
27,304.935
27.5,304.488
28,304.356
28.5,304.583
29,304.168
29.5,305.161
30,304.563
30.5,304.052
31,304.298
31.5,304.423
32,304.079
32.5,304.059
33,304.257
33.5,304.096
34,305.197
34.5,304.195
35,304.28
35.5,304.693
36,304.426
36.5,304.792
37,304.447
37.5,304.763
38,304.519
38.5,304.423
39,304.559
39.5,304.518
40,304.598
40.5,304.274
41,304.255
41.5,304.15
42,303.813
42.5,304.406
43,304.115
43.5,304.094
44,304.342
44.5,303.816
45,303.758
45.5,303.702
46,303.78
46.5,303.728
47,303.547
47.5,303.986
48,304.216
48.5,303.869
49,303.891
49.5,304.399
50,303.729
50.5,304.019
51,304.186
51.5,303.939
52,303.948
52.5,303.903
53,303.743
53.5,303.855
54,303.964
54.5,303.859
55,304.07
55.5,303.966
56,304.273
56.5,303.95
57,304.187
57.5,304.112
58,304.018
58.5,303.958
59,303.817
59.5,303.969
60,303.689
60.5,303.703
61,304.023
61.5,303.999
